Epoch : [0/25], Loss : tensor(115.4775, grad_fn=<AddBackward0>)
Epoch : [1/25], Loss : tensor(142.1357, grad_fn=<AddBackward0>)
Epoch : [2/25], Loss : tensor(106.9510, grad_fn=<AddBackward0>)
Epoch : [3/25], Loss : tensor(88.7276, grad_fn=<AddBackward0>)
Epoch : [4/25], Loss : tensor(104.7379, grad_fn=<AddBackward0>)
Epoch : [5/25], Loss : tensor(127.2778, grad_fn=<AddBackward0>)
Epoch : [6/25], Loss : tensor(95.6519, grad_fn=<AddBackward0>)
Epoch : [7/25], Loss : tensor(84.7270, grad_fn=<AddBackward0>)
Epoch : [8/25], Loss : tensor(126.9941, grad_fn=<AddBackward0>)
Epoch : [9/25], Loss : tensor(84.1439, grad_fn=<AddBackward0>)
Epoch : [10/25], Loss : tensor(102.5843, grad_fn=<AddBackward0>)
Epoch : [11/25], Loss : tensor(117.8649, grad_fn=<AddBackward0>)
Epoch : [12/25], Loss : tensor(122.6596, grad_fn=<AddBackward0>)
Epoch : [13/25], Loss : tensor(99.0003, grad_fn=<AddBackward0>)
Epoch : [14/25], Loss : tensor(107.6422, grad_fn=<AddBackward0>)
Epoch : [15/25], Loss : tensor(103.0699, grad_fn=<AddBackward0>)
Epoch : [16/25], Loss : tensor(87.2372, grad_fn=<AddBackward0>)
Epoch : [17/25], Loss : tensor(83.1783, grad_fn=<AddBackward0>)
Epoch : [18/25], Loss : tensor(89.6339, grad_fn=<AddBackward0>)
Epoch : [19/25], Loss : tensor(71.9848, grad_fn=<AddBackward0>)
Epoch : [20/25], Loss : tensor(93.9444, grad_fn=<AddBackward0>)
Epoch : [21/25], Loss : tensor(95.6113, grad_fn=<AddBackward0>)
Epoch : [22/25], Loss : tensor(95.5548, grad_fn=<AddBackward0>)
Epoch : [23/25], Loss : tensor(122.8087, grad_fn=<AddBackward0>)
Epoch : [24/25], Loss : tensor(108.5416, grad_fn=<AddBackward0>)
